mH_GeV      	XS4_ggF      	XS_over_SM     brWW_over_SM    brZZ_over_SM   brGG_over_SM
272.0      	21.22      	7.343      	0.992      	1.004      	0.788      	
274.0      	20.84      	7.303      	0.992      	1.004      	0.798      	
276.0      	20.50      	7.270      	0.992      	1.004      	0.808      	
278.0      	20.16      	7.235      	0.992      	1.004      	0.817      	
280.0      	19.82      	7.200      	0.992      	1.004      	0.828      	
282.0      	19.48      	7.164      	0.992      	1.004      	0.838      	
284.0      	19.15      	7.128      	0.992      	1.004      	0.848      	
286.0      	18.84      	7.093      	0.993      	1.004      	0.859      	
288.0      	18.52      	7.053      	0.993      	1.004      	0.870      	
290.0      	18.22      	7.015      	0.993      	1.004      	0.881      	
295.0      	17.49      	6.919      	0.993      	1.004      	0.910      	
300.0      	16.84      	6.824      	0.993      	1.004      	0.940      	
305.0      	16.20      	6.714      	0.992      	1.004      	0.972      	
310.0      	15.63      	6.609      	0.993      	1.004      	1.006      	
315.0      	15.08      	6.491      	0.993      	1.004      	1.042      	
320.0      	14.59      	6.375      	0.993      	1.005      	1.080      	
325.0      	14.12      	6.241      	0.992      	1.005      	1.121      	
330.0      	13.71      	6.103      	0.993      	1.005      	1.166      	
335.0      	13.33      	5.950      	0.992      	1.005      	1.214      	
340.0      	12.98      	5.776      	0.992      	1.005      	1.270      	
345.0      	12.73      	5.552      	0.992      	1.006      	1.345      	
350.0      	12.75      	5.304      	0.992      	1.006      	1.431      	
360.0      	12.26      	4.989      	0.992      	1.007      	1.609      	
370.0      	11.64      	4.795      	0.991      	1.006      	1.802      	
380.0      	10.91      	4.658      	0.990      	1.006      	2.018      	
390.0      	10.15      	4.567      	0.990      	1.005      	2.265      	
400.0      	9.38      	4.498      	0.989      	1.004      	2.549      	
420.0      	7.93      	4.424      	0.989      	1.002      	3.260      	
440.0      	6.60      	4.389      	0.989      	1.000      	4.240      	
450.0      	6.03      	4.390      	0.989      	1.000      	4.936      	
460.0      	5.49      	4.390      	0.989      	0.999      	5.632      	
480.0      	4.55      	4.408      	0.990      	0.997      	7.665      	
500.0      	3.79      	4.450      	0.991      	0.996      	10.700      	
520.0      	3.15      	4.499      	0.992      	0.995      	15.326      	
540.0      	2.63      	4.568      	0.993      	0.994      	22.168      	
550.0      	2.41      	4.607      	0.994      	0.994      	26.606      	
560.0      	2.20      	4.645      	0.994      	0.993      	31.043      	
580.0      	1.85      	4.735      	0.995      	0.992      	39.318      	
600.0      	1.56      	4.837      	0.996      	0.992      	42.999      	
